,OMA_group,aln_len,total_gap_count,msa_gap_count,asr_gap_count,min_gap_count,spc_wmin_gap_count,max_gap_count,spc_wmax_gap_count,gap_ratio,num_gappy_sites,avg_gap_len,median_gap_len,mode_gap_len,min_gap_len,spc_wmin_gap_len,max_gap_len,spc_wmax_gap_len,num_ins,num_del,indel_ratio,is_gappy,mu,lambda,loglikelihood,intensity,expected_len,tree_len,per_indel_div
3367,1020342,290,67,35,32,3,Rattus,8,Mus,0.021003135,9,5.153846154,6.0,6,3,Mus,6,Pan,9,3,0.333333333,1,0.701978,176.158,-2274.17,250.9451863,123.6590405,0.22491,2.10031348
3369,761490,446,213,120,93,17,Pan,26,Rattus,0.043416225,44,3.803571429,3.0,6,1,Mus,10,Mus,44,27,0.613636364,1,0.699717,242.656,-3918.94,346.7916315,169.7905284,0.42998,4.341622503
3374,812395,1456,1052,526,526,2,Gorilla,113,Rattus,0.065684316,113,27.68421053,3.0,95,2,Rattus,95,Mus,113,0,0.0,1,0.71563,920.867,-13062.8,1286.792057,659.0000512,0.18579,6.568431568
3376,314388,587,151,131,20,0,Pan,108,Gorilla,0.023385473,119,5.392857143,1.0,1,0,Pan,67,Gorilla,119,111,0.932773109,1,0.36089,179.115,-5600.05,496.3146665,64.6408124,0.52637,2.338547313
3377,314390,576,20,10,10,0,Pan,5,Mus,0.003156566,5,5.0,5.0,5,0,Pan,5,Mus,5,0,0.0,1,0.52565,286.7,-4322.34,545.4199562,150.703855,0.10329,0.315656566
3378,971372,744,275,193,82,8,Pan,63,Macaca,0.033602151,85,9.482758621,7.0,14,1,Mus,40,Macaca,85,111,1.305882353,1,7.07964,1794.67,-8493.0,253.497353,12705.61752,0.08305,3.360215054
3379,971378,401,233,150,83,11,Gorilla,73,Pan,0.052822489,80,3.328571429,2.0,1,1,Mus,65,Pan,80,67,0.8375,1,0.272303,90.7371,-3975.09,333.2210809,24.7079845,0.7698,5.282248923
3381,808220,705,451,244,207,33,Gorilla,47,V2,0.058156028,77,4.902173913,1.0,1,1,Mus,27,Gorilla,77,37,0.480519481,1,0.526977,300.312,-6271.46,569.8768637,158.2575168,0.46037,5.815602837
3382,808221,241,7,4,3,0,Mus,1,Pan,0.002640513,1,1.0,1.0,1,0,Mus,1,Pan,1,1,1.0,1,0.0692944,16.3733,-1625.63,236.2860491,1.134578,0.26031,0.264051301
3383,808225,1856,460,274,186,5,Gorilla,83,Rattus,0.022531348,130,6.96969697,2.0,1,1,Mus,42,Mus,130,88,0.676923077,1,0.632041,916.592,-18338.3,1450.209717,579.3237243,0.46682,2.253134796
3386,978528,531,154,83,71,7,Mus,19,Pan,0.026365348,19,6.416666667,7.0,7,4,Pan,8,Pan,19,12,0.631578947,1,0.0837178,43.2172,-4573.68,516.2247455,3.6180489,0.32792,2.63653484
3390,1038996,603,448,224,224,10,Mus,50,Rattus,0.067541082,50,14.93333333,1.0,1,1,Mus,40,Rattus,50,0,0.0,1,2.03552,935.462,-4886.87,459.5690536,1904.15161,0.16162,6.754108247
3393,1003848,841,303,225,78,9,Gorilla,160,Rattus,0.032753216,165,9.181818182,5.0,5,4,Mus,155,Rattus,165,147,0.890909091,1,1.86419,1246.64,-8445.99,668.7301187,2323.973822,0.12234,3.275321587
3398,680816,321,86,51,35,7,Rattus,14,Pan,0.024355707,23,7.166666667,7.0,7,2,Mus,14,Pan,23,16,0.695652174,1,4.19846,920.817,-3267.84,219.3225611,3866.013342,0.11597,2.43557066
3399,680818,298,42,32,10,0,Macaca,19,Rattus,0.012812691,23,3.818181818,2.0,2,0,Macaca,19,Rattus,23,22,0.956521739,1,0.756349,202.08,-2167.14,267.1782471,152.8430059,0.15423,1.281269067
3403,809470,330,0,0,0,0,Mus,0,Mus,0.0,0,0.0,0.0,0,0,Mus,0,Mus,85,120,1.411764706,0,1e-06,1e-06,-3758.38,1.0,0.0,0.09118,0.0
3404,807229,514,9,5,4,0,Mus,2,Gorilla,0.001591793,2,1.125,1.0,1,0,Mus,2,Gorilla,2,1,0.5,1,0.0957002,48.2285,-3919.57,503.9540147,4.6154771,0.19504,0.159179342
3406,807238,748,10,5,5,0,Rattus,1,Mus,0.001215362,1,1.0,1.0,1,0,Rattus,1,Mus,1,0,0.0,1,0.223024,163.439,-5033.96,732.8314441,36.4508195,0.08865,0.121536218
3408,811884,630,82,62,20,2,Pan,42,Gorilla,0.011832612,49,3.565217391,1.0,1,1,Mus,40,Gorilla,49,42,0.857142857,1,0.250026,141.81,-5836.84,567.1810132,35.4561871,0.45196,1.183261183
3411,815378,357,177,90,87,3,Gorilla,36,Mus,0.045072574,39,5.53125,2.0,2,1,Mus,33,Mus,39,3,0.076923077,1,0.162462,51.1183,-3013.83,314.647733,8.3047813,0.84435,4.507257448
3413,815385,686,7,4,3,0,Mus,1,Pan,0.000927644,1,1.0,1.0,1,0,Mus,1,Pan,1,1,1.0,1,0.00310144,2.12606,-5880.26,685.5073772,0.0065938,0.18955,0.092764378
3417,945997,760,126,72,54,2,V9,27,Mus,0.01507177,41,2.210526316,1.0,1,1,Mus,10,Mus,41,18,0.43902439,1,0.104028,73.4135,-6954.78,705.7090399,7.6370596,0.74203,1.507177033
3418,946000,544,30,17,13,0,Pan,7,Mus,0.005013369,7,2.0,2.0,3,0,Pan,3,Mus,7,4,0.571428571,1,0.444969,228.115,-4494.33,512.6536905,101.5041034,0.13577,0.501336898
3420,1030846,2145,178,170,8,1,Homo,82,Pan,0.007543971,83,9.888888889,1.0,1,1,Mus,81,Pan,83,162,1.951807229,1,0.384334,751.076,-23338.7,1954.227313,288.6640434,0.25569,0.754397118
3421,807135,319,0,0,0,0,Mus,0,Mus,0.0,0,0.0,0.0,0,0,Mus,0,Mus,83,162,1.951807229,0,1e-06,1e-06,-3647.66,1.0,0.0,0.17295,0.0
3426,933408,235,0,0,0,0,Mus,0,Mus,0.0,0,0.0,0.0,0,0,Mus,0,Mus,28,14,0.5,0,1e-06,1e-06,-2720.72,1.0,0.0,0.25528,0.0
3428,810871,915,163,86,77,4,Homo,32,Mus,0.016194734,37,3.018518519,2.0,1,1,Mus,7,Mus,37,9,0.243243243,1,0.186984,163.473,-7071.21,874.2619689,30.5668354,0.24664,1.619473423
3431,964443,646,396,226,170,21,Pan,52,Rattus,0.055727554,76,6.711864407,4.0,1,1,Mus,19,Rattus,76,56,0.736842105,1,0.324079,179.393,-5607.07,553.5471289,58.137504,0.52775,5.572755418
3432,964455,222,78,46,32,4,Mus,13,Macaca,0.031941032,18,2.363636364,2.0,1,1,Mus,5,Pan,18,14,0.777777778,1,0.155834,31.2966,-1901.1,200.8329376,4.8770744,0.68398,3.194103194
3434,810720,642,205,161,44,6,Macaca,122,Gorilla,0.029028604,127,3.727272727,2.0,2,1,Mus,117,Gorilla,127,117,0.921259843,1,0.426744,226.608,-6756.39,531.0162533,96.7036044,0.50191,2.902860379
3435,810727,546,668,345,323,37,Rattus,90,Gorilla,0.111222111,94,18.55555556,2.0,1,1,Mus,89,Gorilla,94,22,0.234042553,1,4.10446,1349.43,-5189.73,328.7716289,5538.681458,0.15953,11.12221112
3436,700443,469,547,277,270,7,Gorilla,57,Mus,0.1060283,58,24.86363636,6.0,51,1,Pan,51,Mus,58,7,0.120689655,1,1.1242,385.964,-4561.46,343.3232521,433.9007288,0.34302,10.60283001
3437,700444,463,129,99,30,0,Gorilla,28,Pan,0.025328883,29,14.33333333,13.0,1,0,Gorilla,28,Pan,29,69,2.379310345,1,0.804014,278.266,-4788.52,346.0959635,223.7297597,0.45335,2.532888278
3441,721978,967,202,162,40,0,Mus,69,Pan,0.018990317,69,14.42857143,8.0,8,0,Mus,36,Pan,69,122,1.768115942,1,5.07045,1666.31,-9722.47,328.631581,8448.94154,0.03632,1.899031682
3442,721981,762,120,67,53,5,Mus,15,Pan,0.014316392,19,2.448979592,2.0,1,1,Mus,6,Pan,19,14,0.736842105,1,1.21933,816.107,-6955.03,669.3077346,995.1037483,0.11353,1.431639227
3447,807749,557,635,448,187,0,Pan,107,Mus,0.103639628,107,42.33333333,17.0,107,0,Pan,107,Mus,107,261,2.439252336,1,3.464,1350.73,-5050.71,389.9336028,4678.92872,0.0785,10.36396279
3448,807751,884,270,174,96,0,Pan,63,Mus,0.027766351,80,18.0,1.0,1,0,Pan,46,Mus,80,78,0.975,1,2.03851,1235.38,-8163.84,606.0210644,2518.334484,0.12219,2.77663513
3450,807754,763,687,386,301,41,Gorilla,93,Rattus,0.081853926,96,22.16129032,11.0,2,2,Mus,52,Rattus,96,85,0.885416667,1,6.03475,1208.53,-7763.64,200.261817,7293.176418,0.04347,8.185392589
3451,1017746,259,548,274,274,0,Pan,72,Mus,0.192348192,72,27.4,5.0,65,0,Pan,65,Mus,72,0,0.0,1,3.51198,743.58,-1711.68,211.7267183,2611.438088,0.06613,19.23481923
3452,1017777,716,182,94,88,6,Pan,27,Mus,0.023108177,33,3.568627451,1.0,1,1,Mus,16,Mus,33,6,0.181818182,1,0.105397,70.821,-6322.46,671.9451218,7.4643209,0.62041,2.310817674
3458,1018039,948,144,79,65,13,Mus,14,Macaca,0.013808976,27,11.07692308,13.0,13,1,Gorilla,13,Mus,27,14,0.518518519,1,1.36591,1087.55,-8073.67,796.2091207,1485.495421,0.1213,1.380897583
3466,944457,216,235,124,111,9,Macaca,27,Gorilla,0.098905724,35,4.7,2.0,1,1,Mus,16,Mus,35,13,0.371428571,1,0.289697,52.9546,-1770.66,182.7930562,15.3407888,0.64744,9.890572391
3475,965361,160,280,143,137,21,Pan,37,Rattus,0.159090909,43,10.76923077,16.0,19,1,Mus,19,Rattus,43,6,0.139534884,1,0.515347,59.6509,-1288.25,115.7490002,30.7409124,0.8235,15.90909091
3482,992957,432,16,8,8,0,Mus,2,Pan,0.003367003,2,2.0,2.0,2,0,Mus,2,Pan,2,0,0.0,1,0.037239,15.8681,-3495.25,426.1150944,0.5909122,0.33563,0.336700337
3483,992961,315,304,159,145,14,Pan,42,Mus,0.087734488,43,8.941176471,1.0,1,1,Mus,32,Mus,43,14,0.325581395,1,0.380722,84.0011,-3076.81,220.6363173,31.9810668,1.24665,8.773448773
3492,812271,782,323,248,75,7,V7,93,Pan,0.037549407,163,6.46,2.0,2,1,Mus,76,Pan,163,173,1.061349693,1,0.573865,356.475,-7854.34,621.1826823,204.5685259,0.46334,3.754940711
3500,685604,368,42,24,18,0,Mus,6,Pan,0.010375494,6,2.0,2.0,2,0,Mus,3,Pan,6,6,1.0,1,0.0410874,14.8669,-3178.37,361.8359886,0.6108423,0.37991,1.037549407
3506,1029184,523,705,360,345,19,Gorilla,75,Pan,0.122544759,75,15.0,3.0,1,1,Mus,56,Mus,75,15,0.2,1,0.748032,295.928,-4765.37,395.608744,221.3636137,0.4549,12.25447593
3508,1029203,1133,163,98,65,5,Rattus,37,Macaca,0.013078713,43,3.26,1.0,1,1,Mus,27,Macaca,43,33,0.76744186,1,0.138101,147.975,-9738.7,1071.498396,20.4354955,0.41122,1.307871299
3509,1029204,1070,768,405,363,27,Rattus,88,Pan,0.065250637,116,12.8,2.0,1,1,Mus,51,Mus,116,42,0.362068966,1,0.400544,367.086,-9843.47,916.4686027,147.0340948,0.43007,6.525063721
3512,665781,975,8,5,3,0,Mus,1,Rattus,0.000745921,2,1.0,1.0,1,0,Mus,1,Rattus,2,2,1.0,1,0.609546,571.652,-8195.87,937.8324195,348.44819,0.06117,0.074592075
3514,1024359,429,1096,564,532,17,Macaca,112,root,0.232252596,125,33.21212121,42.0,65,1,Mus,65,Mus,125,32,0.256,1,1.51971,449.126,-3841.72,295.5340164,682.5412735,0.31431,23.22525959
3515,1024362,615,542,363,179,7,Macaca,137,Pan,0.080118256,189,6.530120482,1.0,1,1,Mus,83,Pan,189,184,0.973544974,1,0.846798,392.303,-6277.76,463.2781372,332.2013958,0.39899,8.011825573
3516,1024367,992,816,735,81,5,Mus,255,Rattus,0.074780059,268,13.83050847,2.0,1,1,Mus,251,Rattus,268,654,2.440298507,1,2.24729,1357.48,-10701.7,604.0519915,3050.651229,0.20719,7.478005865
3518,646033,321,126,69,57,4,Mus,17,Gorilla,0.035683942,21,2.470588235,1.0,1,1,Mus,6,Gorilla,21,12,0.571428571,1,0.0898076,26.0136,-2873.87,289.6592271,2.336219,1.20781,3.568394223
3519,646035,337,0,0,0,0,Mus,0,Mus,0.0,0,0.0,0.0,0,0,Mus,0,Mus,21,12,0.571428571,0,1e-06,1e-06,-3976.76,1.0,0.0,0.25326,0.0
3521,1006610,1564,20,12,8,1,Mus,3,Rattus,0.00116252,5,1.666666667,2.0,2,1,Mus,2,Rattus,5,4,0.8,1,0.0228684,35.6316,-12866.8,1558.115128,0.8148377,0.06164,0.116252034
3522,1006617,604,287,148,139,9,Gorilla,29,Pan,0.043196869,35,23.91666667,27.5,29,3,Gorilla,29,Pan,35,9,0.257142857,1,0.645992,338.873,-5276.03,524.5777037,218.909247,0.23691,4.319686936
3523,1006708,406,536,270,266,27,Macaca,54,Pan,0.120017913,56,18.48275862,6.0,6,2,Rattus,46,Mus,56,4,0.071428571,1,0.551208,190.739,-3286.15,346.0381562,105.1368627,0.32076,12.00179131
3524,1006720,370,14,7,7,1,Mus,2,Rattus,0.003439803,2,1.0,1.0,1,1,Mus,1,Mus,2,0,0.0,1,0.00982239,3.6121,-2753.95,367.741456,0.0354795,0.44099,0.343980344
3528,1007009,211,16,14,2,0,Pan,12,Macaca,0.00689358,13,3.2,1.0,1,0,Pan,12,Macaca,13,12,0.923076923,1,0.1317,26.0979,-1728.89,198.1617312,3.4370934,0.482,0.689358035
3530,1007012,161,70,49,21,1,Gorilla,12,Pan,0.039525692,14,2.692307692,1.0,1,1,Mus,8,Mus,14,28,2.0,1,0.252226,35.6125,-1390.34,141.1928191,8.9823984,0.56316,3.95256917
3535,992667,395,102,53,49,4,Gorilla,14,Mus,0.023475259,18,4.08,3.0,3,3,Mus,8,Mus,18,4,0.222222222,1,0.332672,121.219,-3347.05,364.3799298,40.3261672,0.25218,2.347525892
3539,1026140,264,0,0,0,0,Mus,0,Mus,0.0,0,0.0,0.0,0,0,Mus,0,Mus,369,203,0.550135501,0,1e-06,1e-06,-3006.23,1.0,0.0,0.19038,0.0
3541,1026152,300,22,13,9,0,Mus,3,Pan,0.006666667,4,2.75,3.0,3,0,Mus,3,Pan,4,4,1.0,1,0.0952156,27.6501,-2359.09,290.3946412,2.6327209,0.33191,0.666666667
3542,313906,671,121,82,39,0,Pan,50,Macaca,0.016393443,52,4.84,2.0,6,0,Pan,43,Macaca,52,43,0.826923077,1,1.55119,875.752,-5853.39,564.5678479,1358.457745,0.12248,1.639344262
3543,313922,681,300,155,145,17,Homo,47,Rattus,0.040048058,52,2.608695652,2.0,1,1,Mus,8,Rattus,52,10,0.192307692,1,0.16332,100.759,-6087.55,616.9421994,16.4559599,0.64299,4.004805767
3545,313986,649,106,106,0,0,Mus,106,Rattus,0.014848018,106,53.0,53.0,46,0,Mus,60,Rattus,106,106,1.0,1,2.49014,1321.19,-5016.07,530.5685624,3289.948067,0.04684,1.484801793
3548,1009012,607,429,289,140,8,Homo,93,Mus,0.064250412,149,26.8125,15.5,8,8,Pan,93,Mus,149,149,1.0,1,5.74875,1652.07,-5408.68,287.3789954,9497.337413,0.02889,6.425041186
3556,583815,361,13,9,4,0,Pan,5,Rattus,0.003273735,5,1.857142857,1.0,1,0,Pan,3,Mus,5,5,1.0,1,0.779506,262.982,-2510.64,337.370078,204.9960469,0.08723,0.327373458
3559,816694,273,88,58,30,2,Rattus,27,Gorilla,0.029304029,34,2.666666667,1.0,1,1,Mus,22,Gorilla,34,28,0.823529412,1,0.268522,63.6579,-2496.74,237.0677263,17.0935466,0.57288,2.93040293
3563,814447,651,433,268,165,11,Pan,103,Gorilla,0.060466415,154,4.706521739,2.0,2,1,Mus,92,Gorilla,154,103,0.668831169,1,0.782492,407.705,-5999.93,521.0340809,319.0259009,0.32923,6.046641531
3565,810571,1763,803,450,353,33,Mus,97,Gorilla,0.041406693,130,6.636363636,2.0,1,1,Mus,71,Pan,130,97,0.746153846,1,1.11373,1416.32,-16267.7,1271.690625,1577.398074,0.17908,4.140669314
3569,673339,126,0,0,0,0,Mus,0,Mus,0.0,0,0.0,0.0,0,0,Mus,0,Mus,111,64,0.576576577,0,1e-06,1e-06,-1227.03,1.0,0.0,0.24689,0.0
3573,953680,660,67,47,20,1,Gorilla,30,Pan,0.00922865,31,2.791666667,2.0,1,1,Mus,21,Pan,31,27,0.870967742,1,0.571017,346.062,-5882.33,606.0450039,197.6072851,0.15376,0.922865014
3574,1033382,502,945,542,403,1,Gorilla,150,Rattus,0.171133647,150,25.54054054,5.0,1,1,Mus,121,Mus,150,139,0.926666667,1,1.94833,704.998,-4063.75,361.8473257,1373.568753,0.21843,17.11336472
3575,1033400,508,0,0,0,0,Mus,0,Mus,0.0,0,0.0,0.0,0,0,Mus,0,Mus,150,139,0.926666667,0,1e-06,1e-06,-6848.97,1.0,0.0,0.09577,0.0
3577,1033481,270,740,370,370,0,Gorilla,74,Mus,0.249158249,74,74.0,74.0,74,0,Gorilla,74,Mus,74,0,0.0,1,2.56097,400.089,-2640.18,156.2255708,1024.615926,0.32817,24.91582492
3581,987196,317,118,59,59,3,Mus,12,Homo,0.033839977,12,2.458333333,1.0,1,1,Mus,7,Rattus,12,0,0.0,1,0.153588,45.8171,-2652.07,298.3117171,7.0369568,0.40154,3.383997706
3585,814556,484,266,195,71,5,Pan,141,Macaca,0.049962434,145,6.820512821,1.0,1,1,Mus,139,Macaca,145,124,0.855172414,1,0.634865,240.478,-4437.95,378.7860411,152.6710655,0.47142,4.996243426
3587,814561,1129,281,151,130,19,Mus,29,V2,0.022626621,46,8.78125,2.0,2,1,Pan,27,Rattus,46,21,0.456521739,1,0.234479,243.305,-10991.9,1037.640898,57.0499131,0.37741,2.26266205
3589,818420,1506,444,228,216,19,Mus,45,Rattus,0.026801883,57,5.162790698,2.0,1,1,Mus,25,Rattus,57,12,0.210526316,1,0.3226,421.32,-14656.9,1306.013639,135.917832,0.48475,2.680188338
3592,818556,878,143,79,64,5,Mus,20,Pan,0.014806378,20,3.972222222,1.0,1,1,Mus,18,Pan,20,15,0.75,1,0.0598522,50.8417,-7717.06,849.4541554,3.0429876,0.54762,1.480637813
3593,945360,1266,59,30,29,1,Pan,13,Mus,0.00423668,14,5.363636364,1.0,1,1,Pan,13,Mus,14,1,0.071428571,1,0.0400325,50.3681,-9901.63,1258.180229,2.016361,0.12963,0.423667959
3596,929512,412,0,0,0,0,Mus,0,Mus,0.0,0,0.0,0.0,0,0,Mus,0,Mus,53,53,1.0,0,1e-06,1e-06,-4849.2,1.0,0.0,0.10802,0.0
3597,930525,668,40,28,12,0,Mus,12,Rattus,0.005443658,16,2.666666667,2.0,2,0,Mus,12,Rattus,16,16,1.0,1,0.496139,318.131,-5005.96,641.2134503,157.8371962,0.0796,0.544365814
3599,767751,1468,20,10,10,0,Pan,5,Mus,0.001238543,5,5.0,5.0,5,0,Pan,5,Mus,5,0,0.0,1,0.00439875,6.44632,-14065.2,1465.489059,0.0283558,0.09056,0.123854347
3600,767752,1197,503,271,232,1,Pan,86,Rattus,0.038201565,89,16.76666667,3.0,1,1,Mus,43,Mus,89,39,0.438202247,1,1.1217,1024.99,-12673.5,913.7826513,1149.731283,0.29417,3.820156452
3602,974824,587,30,23,7,1,Rattus,17,Pan,0.00464612,18,2.0,1.0,1,1,Mus,16,Pan,18,16,0.888888889,1,2.02517,1035.93,-4833.72,511.5274273,2097.934358,0.05297,0.464612049
3605,974884,496,52,29,23,1,Macaca,13,Rattus,0.009530792,15,2.08,1.0,1,1,Mus,7,Mus,15,6,0.4,1,0.0790206,38.1777,-3552.24,483.136043,3.0168248,0.32165,0.953079179
3611,975930,761,254,135,119,13,Mus,25,Pan,0.03034285,38,8.75862069,4.0,20,1,Pan,20,Rattus,38,16,0.421052632,1,1.03095,654.831,-6347.75,635.1724138,675.0980195,0.19646,3.034285032
3613,975932,747,329,257,72,9,Gorilla,199,Rattus,0.040038944,204,5.771929825,2.0,2,1,Mus,192,Rattus,204,185,0.906862745,1,1.00398,634.261,-6739.44,631.7466483,636.7853588,0.18451,4.003894365
3621,1002923,1247,833,523,310,33,Gorilla,291,Rattus,0.060727564,323,4.454545455,2.0,1,1,Mus,219,Rattus,323,213,0.659442724,1,0.246375,257.962,-11386.7,1047.029934,63.5553878,0.81281,6.072756434
3623,1002933,367,105,56,49,4,Gorilla,17,Rattus,0.026009413,21,6.5625,4.0,4,1,Mus,17,Rattus,21,7,0.333333333,1,0.257902,83.2552,-2962.14,322.8171941,21.4716826,0.53668,2.600941293
3625,990679,1397,662,388,274,48,Pan,116,Rattus,0.043079326,118,23.64285714,11.0,48,1,Mus,54,Rattus,118,114,0.966101695,1,1.40051,1285.64,-14403.5,917.9798788,1800.551676,0.14889,4.307932583
3628,1037019,1884,138,81,57,8,Rattus,22,Mus,0.006658946,33,3.066666667,1.0,1,1,Mus,8,Mus,33,24,0.727272727,1,0.279144,485.17,-17501.9,1738.063508,135.4322945,0.30297,0.665894615
3635,808001,876,37,19,18,1,Gorilla,4,Pan,0.003839768,4,2.176470588,3.0,3,1,Pan,3,Mus,4,1,0.25,1,0.142209,120.943,-8505.08,850.4595349,17.1991831,0.20502,0.383976754
3638,808022,914,249,164,85,11,Rattus,88,Macaca,0.024766262,93,4.527272727,2.0,2,1,Mus,74,Macaca,93,79,0.849462366,1,0.900414,694.509,-8023.46,771.3218586,625.3456267,0.20884,2.476626218
3644,809867,1427,3323,1777,1546,266,Gorilla,318,Pan,0.211696503,545,32.26213592,5.0,1,1,Mus,211,Pan,545,231,0.423853211,1,1.23615,1156.29,-11912.4,935.3961898,1429.347884,0.45839,21.16965025
3646,821730,819,2178,1131,1047,81,Gorilla,211,Rattus,0.241758242,294,58.86486486,81.0,81,1,Mus,93,Mus,294,84,0.285714286,1,0.879545,533.082,-7186.18,606.0883752,468.8696077,0.43045,24.17582418
3647,821732,642,713,358,355,1,Pan,177,Mus,0.1009629,179,25.46428571,2.0,1,1,Mus,140,Mus,179,3,0.016759777,1,0.286825,164.654,-5035.27,574.057352,47.2268835,0.4172,10.09629
3656,931086,364,115,62,53,3,Mus,13,Pan,0.028721279,16,3.965517241,4.0,1,1,Mus,9,Pan,16,9,0.5625,1,0.189414,64.7226,-3717.73,341.6991352,12.2593666,0.33769,2.872127872
3657,931092,618,884,495,389,32,Pan,134,Macaca,0.130038247,145,15.78571429,6.0,7,1,Pan,71,Mus,145,106,0.731034483,1,1.29073,520.953,-6179.36,403.6111348,672.4096657,0.44812,13.00382465
3658,931107,219,0,0,0,0,Mus,0,Mus,0.0,0,0.0,0.0,0,0,Mus,0,Mus,145,106,0.731034483,0,1e-06,1e-06,-2479.62,1.0,0.0,0.41123,0.0
3659,317719,377,121,82,39,1,Pan,22,Homo,0.029177719,26,5.761904762,1.0,1,1,Mus,21,Homo,26,43,1.653846154,1,0.204857,68.8606,-3666.66,336.1398439,14.1065759,0.6081,2.917771883
3660,317727,366,146,76,70,7,Mus,17,Rattus,0.036264282,19,4.709677419,5.0,5,2,Pan,7,Mus,19,6,0.315789474,1,2.13336,612.989,-2623.78,287.3350021,1307.726213,0.1329,3.626428217
3662,976262,318,165,84,81,3,Gorilla,17,Pan,0.047169811,18,5.892857143,2.0,1,1,Mus,14,Mus,18,3,0.166666667,1,0.0898242,27.3594,-2562.33,304.5882958,2.4575362,0.47605,4.716981132
3665,807846,310,25,14,11,1,Mus,3,Pan,0.007331378,4,2.272727273,3.0,3,1,Mus,3,Pan,4,3,0.75,1,0.388825,115.922,-1816.41,298.134122,45.0733716,0.09915,0.73313783
3666,807847,512,85,69,16,2,Mus,54,Pan,0.01509233,55,4.473684211,2.0,2,1,Homo,50,Pan,55,53,0.963636364,1,3.59022,1269.52,-4283.84,353.6050716,4557.856094,0.04864,1.509232955
3669,971672,256,424,238,186,18,Pan,89,Rattus,0.150568182,102,10.87179487,8.0,8,3,Rattus,52,Rattus,102,52,0.509803922,1,0.700796,121.074,-2275.09,172.7663971,84.8481749,0.75088,15.05681818
3670,971680,357,64,48,16,1,Mus,31,Rattus,0.016297428,34,2.909090909,1.0,1,1,Mus,29,Rattus,34,32,0.941176471,1,0.25465,81.9057,-3057.73,321.6402906,20.8572865,0.43618,1.629742806
3674,809923,498,862,463,399,57,Rattus,114,Gorilla,0.1573567,121,66.30769231,57.0,57,1,Mus,114,Gorilla,121,64,0.52892562,1,1.97071,672.203,-4191.27,341.0968636,1324.717174,0.25421,15.73566995
3675,809925,1467,20,11,9,1,Pan,4,Rattus,0.001239388,5,1.25,1.0,1,1,Mus,2,Mus,5,2,0.4,1,0.152249,218.98,-13803.6,1438.301729,33.339486,0.12914,0.123938774
3676,811209,383,28,15,13,1,Pan,6,Rattus,0.006646095,7,1.866666667,1.0,1,1,Mus,4,Mus,7,2,0.285714286,1,0.443507,160.921,-2662.47,362.8375651,71.3695899,0.12364,0.664609542
3681,975686,546,386,199,187,6,Gorilla,42,Mus,0.064269064,50,8.391304348,1.0,1,1,Mus,30,Mus,50,12,0.24,1,0.274265,128.275,-5004.3,467.7045923,35.1813429,0.62496,6.426906427
3691,1004441,709,70,37,33,1,Pan,15,Mus,0.00897551,19,2.5,1.0,1,1,Mus,7,Mus,19,4,0.210526316,1,0.0662229,45.9342,-6264.98,693.6301491,3.0418959,0.3197,0.897550968
3702,809577,641,104,53,51,2,Homo,12,Mus,0.014749681,14,4.0,3.0,7,1,Gorilla,7,Mus,14,2,0.142857143,1,0.123976,77.4355,-5569.31,624.6007292,9.6001435,0.2034,1.47496809
3706,975367,1862,38,23,15,0,Gorilla,13,Rattus,0.001855288,14,1.583333333,1.0,1,0,Gorilla,7,Rattus,14,8,0.571428571,1,0.135311,246.633,-16940.8,1822.712122,33.3721579,0.15695,0.185528757
3707,975374,610,169,165,4,0,Homo,69,Macaca,0.025186289,95,18.77777778,2.0,2,0,Homo,68,Pan,95,161,1.694736842,1,0.914622,434.019,-6780.86,474.5337418,396.9633258,0.3269,2.518628912
3712,821922,4079,2982,2021,961,170,Macaca,952,Pan,0.06646014,1277,12.37344398,1.0,1,1,Mus,784,Pan,1277,1060,0.830070478,1,0.482751,1325.61,-44870.4,2745.949775,639.9395531,0.56019,6.646013952
3713,821991,751,1042,574,468,42,Mus,151,Gorilla,0.126134851,186,10.21568627,4.0,2,1,Mus,82,Gorilla,186,106,0.569892473,1,1.2474,645.864,-7049.77,517.7681578,805.6507536,0.40439,12.61348505
3716,821893,453,166,111,55,6,Pan,31,Mus,0.033313265,39,5.1875,1.0,1,1,Mus,26,Mus,39,56,1.435897436,1,0.251502,100.139,-3695.04,398.1638317,25.1851588,0.56303,3.33132651
3717,822088,1926,314,185,129,17,Macaca,47,Gorilla,0.014821108,74,3.340425532,1.0,1,1,Mus,15,Gorilla,74,56,0.756756757,1,0.796737,1278.19,-18869.3,1604.280961,1018.381266,0.22502,1.482110828
3721,968429,422,546,327,219,43,Homo,83,Pan,0.117621715,150,4.918918919,4.0,1,1,Mus,24,Macaca,150,108,0.72,1,0.446125,135.452,-4020.16,303.6189409,60.4285235,0.93055,11.76217148
3723,782401,505,38,19,19,1,Gorilla,4,Pan,0.006840684,4,3.454545455,4.0,4,1,Gorilla,4,Pan,4,0,0.0,1,1.34305,580.095,-3747.42,431.9236067,779.0965898,0.12976,0.684068407
3726,1043409,849,77,57,20,2,Pan,20,Rattus,0.008244994,40,1.638297872,1.0,1,1,Mus,13,Macaca,40,37,0.925,1,0.391416,308.401,-7656.41,787.9110716,120.7130858,0.19668,0.824499411
